crID	cat	trf	maxnet	new_purity	new_recovered	new_n_big	new_assigned	new_n_alleles	cur_purity	cur_recovered	cur_n_big	cur_assigned	cur_n_alleles
1032	het	True	741	1.0	True	2	1.0	2	0.96	True	2	1.0	2
1033	het	True	38	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1034	cpx_het	True	68	1.0	True	2	1.0	2	0.9696969696969697	True	2	1.0	2
1035	cpx_het	True	214	1.0	True	2	1.0	2	0.9230769230769231	True	2	1.0	2
1036	het	True	30	1.0	True	2	1.0	2	0.6153846153846154	False	1	1.0	2
1037	het	True	50	1.0	True	2	1.0	2	0.75	False	1	1.0	2
1038	het	True	85	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1039	ref	False	0	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1040	het	True	62	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1041	het	True	32	1.0	True	2	1.0	2	0.8095238095238095	True	2	1.0	2
1042	hom	False	145	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1043	hom	False	829	1.0	True	2	1.0	1	1.0	True	2	1.0	1
1044	het	False	118	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1045	cpx_het	True	74	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1046	het	True	86	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1047	het	True	53	1.0	True	2	1.0	2	0.9565217391304348	True	2	1.0	2
1048	het	False	314	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1049	het	False	72	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1050	het	False	317	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1051	cpx_het	True	58	1.0	True	2	1.0	2	0.6	False	1	1.0	2
1052	hom	False	317	1.0	True	2	0.9473684210526315	1	1.0	True	1	1.0	1
1055	het	True	36	1.0	True	2	1.0	2	0.9545454545454546	True	2	1.0	2
1056	hom	False	320	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1057	het	True	169	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1058	het	True	135	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1059	cpx_het	True	587	1.0	True	2	1.0	2	0.5714285714285714	False	1	1.0	2
1060	cpx_het	True	188	1.0	True	2	1.0	2	0.9375	True	2	1.0	2
1061	het	False	147	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1062	het	False	133	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1063	het	True	35	1.0	True	2	1.0	2	0.9230769230769231	True	2	1.0	2
1068	cpx_het	True	99	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1069	het	True	106	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1070	ref	True	0	1.0	True	2	0.8666666666666667	1	1.0	True	1	1.0	1
1071	cpx_het	True	603	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1072	hom	True	2705	1.0	True	2	1.0	1	1.0	True	2	1.0	1
1073	het	False	98	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1074	hom	False	61	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1075	ref	False	0	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1076	hom	True	448	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1077	cpx_het	True	84	0.9565217391304348	True	2	1.0	2	0.7391304347826086	True	2	1.0	2
1080	cpx_het	True	248	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1081	het	True	33	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1082	cpx_het	True	36	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1083	het	True	117	1.0	True	2	1.0	2	0.9411764705882353	True	2	1.0	2
1084	het	False	31	1.0	True	2	1.0	2	0.631578947368421	False	1	1.0	2
1085	cpx_het	True	132	1.0	True	2	1.0	2	0.9523809523809523	True	2	1.0	2
1086	het	True	30	1.0	True	2	1.0	2	0.5238095238095238	False	1	1.0	2
1087	het	True	50	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1088	ref	False	0	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1089	het	True	70	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1090	het	True	60	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1091	het	True	30	1.0	True	2	1.0	2	0.9473684210526315	True	2	1.0	2
